overlap_40/SQS1_TK/SQS1_TK.log:2021-04-03 00:45:10,171 - INFO - All done! Scheme created with 16 regions, 3 gaps, 88.1% coverage
overlap_40/SQS2_TK/SQS2_TK.log:2021-04-03 00:45:22,178 - INFO - All done! Scheme created with 14 regions, 2 gaps, 88.8% coverage
overlap_40/SRPP3_TK/SRPP3_TK.log:2021-04-03 00:45:26,720 - INFO - All done! Scheme created with 5 regions, 1 gap, 73.15% coverage
overlap_40/SRPP4_TK/SRPP4_TK.log:2021-04-03 00:45:35,251 - INFO - All done! Scheme created with 10 regions, 4 gaps, 84.08% coverage
overlap_40/SRPP5_TK/SRPP5_TK.log:2021-04-03 00:45:38,160 - INFO - All done! Scheme created with 3 regions, 0 gaps, 65.88% coverage
overlap_40/SRPP6_TK/SRPP6_TK.log:2021-04-03 00:45:41,734 - INFO - All done! Scheme created with 4 regions, 1 gap, 61.05% coverage
overlap_40/SRRP1_TK/SRRP1_TK.log:2021-04-03 00:45:43,905 - INFO - All done! Scheme created with 2 regions, 0 gaps, 65.22% coverage
overlap_40/SRRP2_TK/SRRP2_TK.log:2021-04-03 00:45:49,014 - INFO - All done! Scheme created with 6 regions, 2 gaps, 77.49% coverage
overlap_40/STKWNK_TK/STKWNK_TK.log:2021-04-03 00:45:51,045 - INFO - All done! Scheme created with 2 regions, 0 gaps, 41.74% coverage
overlap_40/SYP124_TK/SYP124_TK.log:2021-04-03 00:45:54,563 - INFO - All done! Scheme created with 4 regions, 0 gaps, 62.41% coverage
overlap_40/TCTP1_TK/TCTP1_TK.log:2021-04-03 00:45:56,779 - INFO - All done! Scheme created with 2 regions, 0 gaps, 43.38% coverage
overlap_40/TCTP2_TK/TCTP2_TK.log:2021-04-03 00:45:59,710 - INFO - All done! Scheme created with 3 regions, 1 gap, 58.99% coverage
overlap_40/TLP_TK/TLP_TK.log:2021-04-03 00:46:02,582 - INFO - All done! Scheme created with 3 regions, 1 gap, 60.08% coverage
overlap_40/UCE9_TK/UCE9_TK.log:2021-04-03 00:46:05,546 - INFO - All done! Scheme created with 3 regions, 1 gap, 62.55% coverage
overlap_40/VPE_TK/VPE_TK.log:2021-04-03 00:46:27,843 - INFO - All done! Scheme created with 19 regions, 7 gaps, 82.77% coverage
overlap_40/cluster_4H3M2EDPR_TK/cluster_4H3M2EDPR_TK.log:2021-04-03 00:35:25,526 - INFO - All done! Scheme created with 11 regions, 4 gaps, 73.82% coverage
overlap_40/cluster_CPT_TK/cluster_CPT_TK.log:2021-04-03 00:35:29,340 - INFO - All done! Scheme created with 4 regions, 1 gap, 57.98% coverage
overlap_40/cluster_GGDPS_TK/cluster_GGDPS_TK.log:2021-04-03 00:35:34,484 - INFO - All done! Scheme created with 6 regions, 2 gaps, 81.14% coverage
overlap_40/e4H3M2EDPS1_TK/e4H3M2EDPS1_TK.log:2021-04-03 00:36:55,024 - INFO - All done! Scheme created with 16 regions, 7 gaps, 80.63% coverage
overlap_45/1DDX5PR1_TK/1DDX5PR1_TK.log:2021-04-03 00:46:38,200 - INFO - All done! Scheme created with 12 regions, 2 gaps, 84.54% coverage
overlap_45/1DDX5PS1_TK/1DDX5PS1_TK.log:2021-04-03 00:46:52,948 - INFO - All done! Scheme created with 18 regions, 8 gaps, 83.28% coverage
overlap_45/1DDX5PS2_TK/1DDX5PS2_TK.log:2021-04-03 00:47:09,861 - INFO - All done! Scheme created with 20 regions, 9 gaps, 89.66% coverage
overlap_45/1DDX5PS3_TK/1DDX5PS3_TK.log:2021-04-03 00:47:21,386 - INFO - All done! Scheme created with 14 regions, 6 gaps, 72.99% coverage
overlap_45/1_FEH_TK/1_FEH_TK.log:2021-04-03 00:47:33,183 - INFO - All done! Scheme created with 14 regions, 6 gaps, 78.17% coverage
overlap_45/1_FFT_TK/1_FFT_TK.log:2021-04-03 00:47:47,358 - INFO - All done! Scheme created with 17 regions, 8 gaps, 81.49% coverage
overlap_45/1_SST_TK/1_SST_TK.log:2021-04-03 00:48:06,596 - INFO - All done! Scheme created with 15 regions, 5 gaps, 84.93% coverage
overlap_45/2cMDE24CS1_TK/2cMDE24CS1_TK.log:2021-04-03 00:48:12,029 - INFO - All done! Scheme created with 6 regions, 2 gaps, 75.06% coverage
overlap_45/2cMDE4PCT1_TK/2cMDE4PCT1_TK.log:2021-04-03 00:48:23,870 - INFO - All done! Scheme created with 11 regions, 1 gap, 85.13% coverage
overlap_45/3H3MC1_TK/3H3MC1_TK.log:2021-04-03 00:48:30,518 - INFO - All done! Scheme created with 8 regions, 3 gaps, 78.69% coverage
overlap_45/3H3MCR1_TK/3H3MCR1_TK.log:2021-04-03 00:48:37,103 - INFO - All done! Scheme created with 8 regions, 1 gap, 83.29% coverage
overlap_45/3H3MCR2_TK/3H3MCR2_TK.log:2021-04-03 00:48:43,711 - INFO - All done! Scheme created with 8 regions, 1 gap, 78.69% coverage
